id,hash,date,status,model,dataset,category,scoring,threshold,percentile,decision_rule,suffix,run_dir,config_path,results_path,outputs_path,auroc,auprc,precision,recall,f1,tp,tn,fn,fp,predictions_csv,predictions_json
E00001,5da359c9cac6bf79,2026-06-26 17:13:26,done,vaegan,MVTec,hazelnut,reconstruction_l1,single_point,95,any,,results\experiments\E00001,results\experiments\E00001\config.yaml,results\experiments\E00001\results.json,results\experiments\E00001\outputs.pt,0.8478571428571429,0.9150892584201482,1.0,0.3857142925262451,0.5567010641098022,27,40,43,0,,
E00002,6b74c7be2f7b0ee7,2026-06-26 17:14:41,done,vaegan,Cobots_Synthetic,PLeft,reconstruction_l1,single_point,95,any,,results\experiments\E00002,results\experiments\E00002\config.yaml,results\experiments\E00002\results.json,results\experiments\E00002\outputs.pt,0.9303792918250748,0.6604633257413255,1.0,0.09638553857803345,0.17582418024539948,16,5698,150,0,,
E00003,ad7164a9b0155c6e,2026-06-26 17:25:59,done,vaegan,MVTec,hazelnut,reconstruction_l1,single_point,95,any,,results\experiments\E00003,results\experiments\E00003\config.yaml,results\experiments\E00003\results.json,results\experiments\E00003\outputs.pt,0.8478571428571429,0.9150892584201482,0.9666666388511658,0.41428571939468384,0.5799999833106995,29,39,41,1,,
E00004,ad7164a9b0155c6e,2026-06-26 17:44:47,done,vaegan,MVTec,hazelnut,reconstruction_l1,single_point,95,any,,results\experiments\E00004,results\experiments\E00004\config.yaml,results\experiments\E00004\metrics.json,results\experiments\E00004\outputs.pt,0.8478571428571429,0.9150892584201482,0.9666666388511658,0.41428571939468384,0.5799999833106995,29,39,41,1,results\experiments\E00004\predictions.csv,results\experiments\E00004\predictions.json
E00005,d2d7e1efb076b16b,2026-06-27 16:25:12,done,vaegan,MVTec,hazelnut,reconstruction_l1,single_point,95,any,,results/experiments/E00005,results/experiments/E00005/config.yaml,results/experiments/E00005/metrics.json,results/experiments/E00005/outputs.pt,0.8478571428571429,0.9150892584201482,0.9666666388511658,0.41428571939468384,0.5799999833106995,29,39,41,1,results/experiments/E00005/predictions.csv,results/experiments/E00005/predictions.json
E00006,d2d7e1efb076b16b,2026-06-27 16:36:05,done,vaegan,MVTec,hazelnut,reconstruction_l1,single_point,95,any,,results/experiments/E00006,results/experiments/E00006/config.yaml,results/experiments/E00006/metrics.json,results/experiments/E00006/outputs.pt,0.8478571428571429,0.9150892584201482,0.9666666388511658,0.41428571939468384,0.5799999833106995,29,39,41,1,results/experiments/E00006/predictions.csv,results/experiments/E00006/predictions.json
E00007,d2d7e1efb076b16b,2026-06-27 17:04:22,done,vaegan,MVTec,hazelnut,reconstruction_l1,single_point,95,any,,results/experiments/E00007,results/experiments/E00007/config.yaml,results/experiments/E00007/metrics.json,results/experiments/E00007/outputs.pt,0.8478571428571429,0.9150892584201482,0.9642857313156128,0.3857142925262451,0.5510204434394836,27,39,43,1,results/experiments/E00007/predictions.csv,results/experiments/E00007/predictions.json
E00008,d2d7e1efb076b16b,2026-06-27 17:35:28,done,vaegan,MVTec,hazelnut,reconstruction_l1,single_point,95,any,,results/experiments/E00008,results/experiments/E00008/config.yaml,results/experiments/E00008/metrics.json,results/experiments/E00008/outputs.pt,0.8478571428571429,0.9150892584201482,0.939393937587738,0.44285714626312256,0.6019417643547058,31,38,39,2,results/experiments/E00008/predictions.csv,results/experiments/E00008/predictions.json
E00009,aa7577b88d04875e,2026-06-28 15:29:17,done,advis_vaegan,MVTec,hazelnut,reconstruction_l1,single_point,95,any,,results/experiments/E00009,results/experiments/E00009/config.yaml,results/experiments/E00009/metrics.json,results/experiments/E00009/outputs.pt,0.8478571428571429,0.9150892584201482,0.6603773832321167,1.0,0.7954545617103577,70,4,0,36,results/experiments/E00009/predictions.csv,results/experiments/E00009/predictions.json
E00010,aa7577b88d04875e,2026-06-28 15:47:41,done,advis_vaegan,MVTec,hazelnut,reconstruction_l1,single_point,95,any,,results/experiments/E00010,results/experiments/E00010/config.yaml,results/experiments/E00010/metrics.json,results/experiments/E00010/outputs.pt,0.8478571428571429,0.9150892584201482,0.6666666865348816,1.0,0.800000011920929,70,5,0,35,results/experiments/E00010/predictions.csv,results/experiments/E00010/predictions.json
E00011,aa49933510d281fa,2026-06-29 11:52:26,done,vaegan,MVTec,hazelnut,reconstruction_l1,single_point,95,any,,results\experiments\E00011,results\experiments\E00011\config.yaml,results\experiments\E00011\metrics.json,results\experiments\E00011\outputs.pt,0.8478571428571429,0.9150892584201482,0.9375,0.4285714328289032,0.5882353186607361,30,38,40,2,results\experiments\E00011\predictions.csv,results\experiments\E00011\predictions.json
E00012,8aaa88bb86d9234b,2026-07-19 00:47:50,done,advis_vaegan,MVTec,hazelnut,reconstruction_l2,single_point,99,any,,results/experiments/E00012,results/experiments/E00012/config.yaml,results/experiments/E00012/metrics.json,results/experiments/E00012/outputs.pt,0.8864285714285715,0.9379638656854759,0.6764705777168274,0.9857142567634583,0.8023255467414856,69,7,1,33,results/experiments/E00012/predictions.csv,results/experiments/E00012/predictions.json
